,ID,Section,Gender,State,City,Age (years),Height,Highest_Qualification,Favourite_Subject,Favourite_Colour,Work_Experience,Work_Industry,Hobby,Info_regarding_gim,Workexperience,Top_3_Competitors,Top_3_converts,Experience_Category,Info_0,Info_1,Info_2,Info_3,Info_4,Social_media,Online_search,Advertisement,Coaching,Friends/Family
91,92,PGDM FT Section A,Man,Tamilnadu,Erode,20,192.0,Under graduation,Accounts,Black,0.0,,Chess and Movies,Friends/Family;Coaching ;,Explore,"IMI Delhi, IIMs, FMS",,0 years,Friends/Family,Coaching,,,,0,0,0,1,1
92,93,PGDM FT Section A,Woman,Delhi,Delhi,22,173.0,B.Com Honours,Accountancy,Lilac,0.0,,Reading,Advertisement;,Placement,"Great Lakes, TAPMI, FORE","Great lakes, IMI HR, IMT DCP",0 years,Advertisement,,,,,0,0,1,0,0
93,94,PGDM FT Section A,Woman,Rajasthan,Ajmer,25,5.0,B.Tech.,No Subject is fav,White,1.5,Sales,Watching Movie,Friends/Family;,Growth  and Skill Enhancement,"IMT Ghaziabad, Tampi, MICA",,1-2 years,Friends/Family,,,,,0,0,0,0,1
94,95,PGDM FT Section A,Man,Delhi,Delhi,24,160.0,Graduate,Economics,Black,2.75,Consulting,Playing cricket,,Transform,"FORE, GLIM, ",,2-5 years,,,,,,0,0,0,0,0
95,96,PGDM FT Section A,Woman,Rajasthan,Jaipur,25,157.0,Bachelor's,Sociology,Pink,0.0,Fresher,Dancing,Online search;,Growth,IMI DELHI IMT GHAZIABAD GLIM,Kj somaiya IMI delhi,0 years,Online_search,,,,,0,1,0,0,0
96,97,PGDM FT Section A,Woman,Assam.,Guwahati,24,160.0,Btech,"Biology, History",Sky Blue,1.5,IT,Traveling,Advertisement;,Learning,"Tapmi, imt , imi ",Imt,1-2 years,Advertisement,,,,,0,0,1,0,0
97,98,PGDM FT Section A,Man,Haryana,Faridabad,21,172.0,BBA,Accounting,Black,0.0,,Driving,Social media;Online search;,Holistic profile development,"TAPMI, BABY IIMS, IMT GHAZIABAD ",none,0 years,Social media,Online_search,,,,1,1,0,0,0
98,99,PGDM FT Section A,Man,Karnataka,Mysore,25,175.0,Bachelors in Engineering,Mathematics,Yellow,1.75,IT,Cycling,Social media;Advertisement;Online search;Coaching cente;,Placement,"TAPMI, Great Lakes,IMI","TAPMI, Great Lakes",1-2 years,Social media,Advertisement,Online_search,Coaching,,1,1,1,1,0
99,100,PGDM FT Section A,Man,Uttarakhand,Haldwani,25,175.0,Under Graduate,Mathematics,White,2.0,IT,Playing Video Games,Social media;,Great opportunities,New IIMs TAPMI,IMI TAPMI,1-2 years,Social media,,,,,1,0,0,0,0
100,101,PGDM FT Section A,Man,Kerala,Cochin,23,172.0,BBA LLB,Communication,Red,0.0,,Sports and Games,Advertisement;Online search;Friends/Family;,Hectic,"Great Lakes, IMT and Tapmi","Great lakes, IMT.",0 years,Advertisement,Online_search,Friends/Family,,,0,1,1,0,1
101,102,PGDM FT Section A,Woman,West Bengal,Kolkata,22,174.0,Graduate,Communications,Blue,1.0,Public Relations,Watching web series,Online search;,Confident,"TAPMI, IMI, Fore","KJ Somaiya, TAPMI, IMT Nagpur and Hyderabad",1-2 years,Online_search,,,,,0,1,0,0,0
102,103,PGDM FT Section A,Man,Maharashtra,Mumbai,25,165.0,B.E.,Accounting,Green,3.0,IT,Music,Online search;,Personal and professional development,"IIMA, IIMB, IIMC","Great Lakes Chennai, SIOM Nashik, NMIMS Bangalore.",2-5 years,Online_search,,,,,0,1,0,0,0
103,104,PGDM FT Section A,Woman,Haryana,Gurgaon,21,162.0,Bsc chemistry honours,Maths,Midnight blue,0.0,,Trekking,Friends/Family;,Success,"Imt g, imi delhi, iim jammu, amritsar ","Imi delhi, IIM Amritsar, jammu, bodhgaya",0 years,Friends/Family,,,,,0,0,0,0,1
104,105,PGDM FT Section A,Man,Haryana,Sonipat,23,179.0,CFA L1,Financial Management,Black,1.0,Education,Workout,Friends/Family;Social media;,Growth,"IMI, GLIM, TAPMI",,1-2 years,Friends/Family,Social media,,,,1,0,0,0,1
105,106,PGDM FT Section A,Man,Tamil Nadu,Kanyakumari,25,173.0,Bachelor of Technology,Mathematics,Dark Purple,2.5,Civil Engineering,Playing Football,Online search;Social media;,Knowledge,"GLIM, TAPMI, IMT G",GLIM,2-5 years,Online_search,Social media,,,,1,1,0,0,0
106,107,PGDM FT Section A,Man,Uttar Pradesh,Ghaziabad,22,183.0,PGDM filmmaking,Advertising,Rose gold,1.0,Advertising,Fountain pens,Social media;,Growing my skillset,Imi delhi,"Imi delhi, baby iims",1-2 years,Social media,,,,,1,0,0,0,0
107,108,PGDM FT Section A,Woman,Jharkhand,Bokaro,22,165.0,Graduation,Marketing,Pink,0.0,,Dance,Friends/Family;,Placement,"Tapmi,imi delhi,imt ghaziabad","Kj somaiya,imi delhi, imt ghaziabad",0 years,Friends/Family,,,,,0,0,0,0,1
108,109,PGDM FT Section A,Man,Punjab,Ludhiana,23,170.0,Ug (Bcom),Marketing,Sky Blue,1.0,Sports management,Playing sports,Friends/Family;Social media;,Learning,"Imi Delhi, Great lakes chennai, Fore school of management ",Fore school of management,1-2 years,Friends/Family,Social media,,,,1,0,0,0,1
109,110,PGDM BDA Section A,Man,Karnataka,Belagavi,25,169.0,BE,Mathematics,Violet,1.0,IT,Playing Badminton,Friends/Family;,Connections,"IMI Delhi, IMT Ghaziabad, TAPMI","TAPMI, SIBM",1-2 years,Friends/Family,,,,,0,0,0,0,1
110,111,PGDM FT Section A,Man,Uttar Pradesh,Amroha,22,170.0,B.Com(P),Economics,Red,1.0,Insurance,Cricket,Online search;Coaching Institutes;,Presentable,"IMI D, TAPMI, IMT G","IRMA, IMI BFS",1-2 years,Online_search,Coaching,,,,0,1,0,1,0
111,112,PGDM BDA Section B,Man,Andhra Pradesh,Vijayawada,22,177.0,BBA,Analytics and Literature,Blue,0.0,,"Keyboard(Piano), story writing and book reading",Online search;,A good learning experience that helps me build a bright career and also make great friends,"IIM Bodhgaya, TAPMI, KJ Somiya",,0 years,Online_search,,,,,0,1,0,0,0
112,113,PGDM BDA Section A,Woman,Maharashtra,Mumbai,21,153.0,Undergraduate,Maths,Blue,0.0,,Crochet,Friends/Family;Online search;,Memories,"IIM Udaipur, IIM Kashipur, Great Lakes","Tapmi, Great Lakes, Welingkar",0 years,Friends/Family,Online_search,,,,0,1,0,0,1
113,114,PGDM BDA Section A,Woman,Kerala,Kochi,26,152.0,B.Tech,Maths,Blue,4.0,IT,Reading,Friends/Family;,Career,"IIMs,Great Lakes, TAPMI ",BITS Pilani,2-5 years,Friends/Family,,,,,0,0,0,0,1
114,115,PGDM BDA Section A,Man,Madhyapradesh,Gwalior,24,5.8,Graduate,Maths,Black,1.5833333333333333,ITES,Music,Friends/Family;Social media;Online search;,Placement,"Imt, schmrd pune, great lakes ",Great lakes,1-2 years,Friends/Family,Social media,Online_search,,,1,1,0,0,1
115,116,PGDM BDA Section A,Man,Madhya Pradesh,Indore,22,176.0,BBA,Management Accounting,Black,1.0,Construction,Football,Online search;,FUN,"IMI , XIMB , Great Lakes","XIMB, KJ Somaiya , Great Lakes",1-2 years,Online_search,,,,,0,1,0,0,0
116,117,PGDM BDA Section A,Woman,Haryana,Hansi,21,152.0,Bachelor's,Programming,Black,0.0,,Dance,Friends/Family;Social media;Online search;,Learn and explore alot.,IIM Calicut,LBSIM Delhi,0 years,Friends/Family,Social media,Online_search,,,1,1,0,0,1
117,118,PGDM BDA Section A,Man,Uttar Pradesh,Prayagraj,27,165.0,Btech,Maths,Red,3.5,IT,Reading books.,Friends/Family;,Career growth,"IIM Kashipur, GLIM, SCMHRD",,2-5 years,Friends/Family,,,,,0,0,0,0,1
118,119,PGDM BDA Section A,Man,DELHI,New Delhi,26,181.0,B.tech,DBMS,BLACK,3.0,IT,FOOTBALL,Online search;,HIGHEST PLACEMENT,"GLIM C , IIM KASHIPUR, IMT G","GLIM C, IMT G, IMI NEW DELHI",2-5 years,Online_search,,,,,0,1,0,0,0
119,120,PGDM BDA Section A,Man,Maharashtra,Aurangabad,22,162.0,Btech,Maths,Navy Blue,0.0,Fresher,Swimming,Friends/Family;,Good Placements,1. IIM Calcutta BA 2. IIM Kashipur BA 3. SCMHRD BA BA,1. NMIMS 2. KJ Somaiya 3. Welingkar,0 years,Friends/Family,,,,,0,0,0,0,1
120,121,PGDM BDA Section A,Woman,Uttar Pradesh,Ghaziabad,25,161.0,Btech,Maths,Black,2.8333333333333335,IT,Dance,Online search;,Learning,"Tampi, imi delhi",,2-5 years,Online_search,,,,,0,1,0,0,0
121,122,PGDM BDA Section A,Woman,Maharashtra,Kolhapur,22,165.0,B. Tech (Pharmaceutical Chemistry and Technology),Calculus,Turquoise,0.42,,Playing Violin,Online search;,Great Learning,"IIM Vizag, Great Lakes, Tapmi",,1-2 years,Online_search,,,,,0,1,0,0,0
